Iteration	Payoff	Chain	Status	Baseline Natural Flux	Atmospheric Lifetime of N2O	Effective Sensitivity of Temperature on N2O Flux	
5700	  -55304.174	7	2	   9232227.6	         200	        0.06	
5700	  -55305.293	8	2	   9235080.1	   199.99255	        0.06	
5700	      -55304	9	2	   9233063.3	         200	        0.06	
5710	  -55304.165		2	   9234030.2	   199.99977	        0.06	
5710	  -55304.785	1	2	   9234250.5	   199.99414	        0.06	
5710	  -55323.752	2	2	   9241988.4	   199.83137	 0.059999922	
5710	  -55304.048	3	2	   9233677.3	         200	        0.06	
5710	  -55304.099	4	2	   9232453.9	         200	        0.06	
5710	   -55304.12	5	2	   9233958.7	         200	        0.06	
5710	  -55304.217	6	2	     9232118	         200	        0.06	
5710	  -55304.174	7	2	   9232227.6	         200	        0.06	
5710	  -55305.593	8	1	   9235080.1	     199.989	        0.06	
5710	      -55304	9	2	   9233063.3	         200	        0.06	
5720	  -55304.165		2	   9234030.2	   199.99977	        0.06	
5720	  -55304.785	1	2	   9234250.5	   199.99414	        0.06	
5720	  -55323.752	2	2	   9241988.4	   199.83137	 0.059999922	
5720	  -55304.048	3	2	   9233677.3	         200	        0.06	
5720	  -55304.099	4	2	   9232453.9	         200	        0.06	
5720	   -55304.12	5	2	   9233958.7	         200	        0.06	
5720	  -55304.058	6	1	     9232621	         200	        0.06	
5720	  -55307.206	7	1	   9229244.1	   199.99922	        0.06	
5720	  -55305.593	8	2	   9235080.1	     199.989	        0.06	
5720	      -55304	9	2	   9233063.3	         200	        0.06	
5730	  -55304.165		2	   9234030.2	   199.99977	        0.06	
5730	  -55304.785	1	2	   9234250.5	   199.99414	        0.06	
5730	  -55323.752	2	2	   9241988.4	   199.83137	 0.059999922	
5730	  -55304.048	3	2	   9233677.3	         200	        0.06	
5730	   -55305.08	4	1	   9235513.1	         200	        0.06	
5730	   -55304.12	5	2	   9233958.7	         200	        0.06	
5730	  -55304.058	6	2	     9232621	         200	        0.06	
5730	  -55307.206	7	2	   9229244.1	   199.99922	        0.06	
5730	  -55305.593	8	2	   9235080.1	     199.989	        0.06	
5730	      -55304	9	2	   9233063.3	         200	        0.06	
5740	  -55304.165		2	   9234030.2	   199.99977	        0.06	
5740	  -55304.785	1	2	   9234250.5	   199.99414	        0.06	
5740	  -55321.995	2	1	   9243064.3	   199.84685	        0.06	
5740	  -55304.048	3	2	   9233677.3	         200	        0.06	
5740	   -55305.08	4	2	   9235513.1	         200	        0.06	
5740	   -55304.12	5	2	   9233958.7	         200	        0.06	
5740	  -55304.058	6	2	     9232621	         200	        0.06	
5740	  -55307.206	7	2	   9229244.1	   199.99922	        0.06	
5740	  -55305.593	8	2	   9235080.1	     199.989	        0.06	
5740	      -55304	9	2	   9233063.3	         200	        0.06	
5750	  -55305.416		1	   9230491.6	         200	        0.06	
5750	  -55304.785	1	2	   9234250.5	   199.99414	        0.06	
5750	  -55321.907	2	1	   9244187.9	   199.86096	        0.06	
5750	  -55304.048	3	2	   9233677.3	         200	        0.06	
5750	  -55304.292	4	1	   9231950.2	         200	        0.06	
5750	   -55304.12	5	2	   9233958.7	         200	        0.06	
5750	  -55304.058	6	2	     9232621	         200	        0.06	
5750	  -55305.284	7	1	   9235677.2	   199.99922	        0.06	
5750	  -55305.593	8	2	   9235080.1	     199.989	        0.06	
5750	      -55304	9	2	   9233063.3	         200	        0.06	
5760	  -55305.416		2	   9230491.6	         200	        0.06	
5760	  -55304.785	1	2	   9234250.5	   199.99414	        0.06	
5760	  -55321.907	2	2	   9244187.9	   199.86096	        0.06	
5760	  -55304.048	3	2	   9233677.3	         200	        0.06	
5760	  -55305.605	4	1	   9231950.2	   199.99122	        0.06	
5760	   -55304.12	5	2	   9233958.7	         200	        0.06	
5760	  -55304.058	6	2	     9232621	         200	        0.06	
5760	  -55305.284	7	2	   9235677.2	   199.99922	        0.06	
5760	  -55305.593	8	2	   9235080.1	     199.989	        0.06	
5760	      -55304	9	2	   9233063.3	         200	        0.06	
5770	  -55305.416		2	   9230491.6	         200	        0.06	
5770	  -55307.472	1	1	   9233602.7	   199.97233	        0.06	
5770	   -55321.16	2	1	   9243835.1	   199.88045	 0.059996782	
5770	  -55304.048	3	2	   9233677.3	         200	        0.06	
5770	  -55305.605	4	2	   9231950.2	   199.99122	        0.06	
5770	   -55304.12	5	2	   9233958.7	         200	        0.06	
5770	  -55304.058	6	2	     9232621	         200	        0.06	
5770	  -55305.835	7	1	   9233702.1	   199.98438	        0.06	
5770	  -55305.593	8	2	   9235080.1	     199.989	        0.06	
5770	      -55304	9	2	   9233063.3	         200	        0.06	
5780	  -55305.416		2	   9230491.6	         200	        0.06	
5780	  -55307.472	1	2	   9233602.7	   199.97233	        0.06	
5780	   -55321.16	2	2	   9243835.1	   199.88045	 0.059996782	
5780	  -55304.048	3	2	   9233677.3	         200	        0.06	
5780	  -55305.605	4	2	   9231950.2	   199.99122	        0.06	
5780	   -55304.12	5	2	   9233958.7	         200	        0.06	
5780	  -55304.058	6	2	     9232621	         200	        0.06	
5780	  -55305.835	7	2	   9233702.1	   199.98438	        0.06	
5780	   -55304.01	8	1	   9232920.5	         200	        0.06	
5780	      -55304	9	2	   9233063.3	         200	        0.06	
5790	  -55305.416		2	   9230491.6	         200	        0.06	
5790	  -55307.472	1	2	   9233602.7	   199.97233	        0.06	
5790	   -55321.16	2	2	   9243835.1	   199.88045	 0.059996782	
5790	  -55304.048	3	2	   9233677.3	         200	        0.06	
5790	  -55305.605	4	2	   9231950.2	   199.99122	        0.06	
5790	   -55304.12	5	2	   9233958.7	         200	        0.06	
5790	  -55304.058	6	2	     9232621	         200	        0.06	
5790	  -55305.835	7	2	   9233702.1	   199.98438	        0.06	
5790	  -55304.046	8	1	   9233665.2	         200	        0.06	
5790	      -55304	9	2	   9233063.3	         200	        0.06	
5800	  -55305.416		2	   9230491.6	         200	        0.06	
5800	  -55307.472	1	2	   9233602.7	   199.97233	        0.06	
5800	  -55321.141	2	1	   9243835.1	   199.88108	 0.059996782	
5800	  -55304.048	3	2	   9233677.3	         200	        0.06	
5800	  -55305.605	4	2	   9231950.2	   199.99122	        0.06	
5800	   -55304.12	5	2	   9233958.7	         200	        0.06	
5800	  -55304.058	6	2	     9232621	         200	        0.06	
5800	  -55305.835	7	2	   9233702.1	   199.98438	        0.06	
5800	  -55304.046	8	2	   9233665.2	         200	        0.06	
5800	      -55304	9	2	   9233063.3	         200	        0.06	
5810	  -55305.416		2	   9230491.6	         200	        0.06	
5810	  -55307.472	1	2	   9233602.7	   199.97233	        0.06	
5810	  -55318.263	2	1	     9242734	   199.90719	        0.06	
5810	  -55304.048	3	2	   9233677.3	         200	        0.06	
5810	  -55305.605	4	2	   9231950.2	   199.99122	        0.06	
5810	   -55304.12	5	2	   9233958.7	         200	        0.06	
5810	  -55304.058	6	2	     9232621	         200	        0.06	
5810	  -55305.835	7	2	   9233702.1	   199.98438	        0.06	
5810	  -55304.168	8	1	   9234099.9	         200	        0.06	
5810	      -55304	9	2	   9233063.3	         200	        0.06	
5820	  -55305.416		2	   9230491.6	         200	        0.06	
5820	  -55307.472	1	2	   9233602.7	   199.97233	        0.06	
5820	  -55318.263	2	2	     9242734	   199.90719	        0.06	
5820	  -55304.048	3	2	   9233677.3	         200	        0.06	
5820	  -55305.605	4	2	   9231950.2	   199.99122	        0.06	
5820	   -55304.12	5	2	   9233958.7	         200	        0.06	
5820	  -55304.058	6	2	     9232621	         200	        0.06	
5820	  -55305.835	7	2	   9233702.1	   199.98438	        0.06	
5820	  -55304.104	8	1	   9232438.8	         200	        0.06	
5820	      -55304	9	2	   9233063.3	         200	        0.06	
5830	  -55305.416		2	   9230491.6	         200	        0.06	
5830	  -55307.027	1	1	   9233436.6	     199.976	        0.06	
5830	  -55318.146	2	1	     9242734	    199.9302	        0.06	
5830	  -55304.048	3	2	   9233677.3	         200	        0.06	
5830	  -55305.605	4	2	   9231950.2	   199.99122	        0.06	
5830	   -55304.12	5	2	   9233958.7	         200	        0.06	
5830	  -55304.058	6	2	     9232621	         200	        0.06	
5830	  -55305.835	7	2	   9233702.1	   199.98438	        0.06	
5830	  -55304.104	8	2	   9232438.8	         200	        0.06	
5830	      -55304	9	2	   9233063.3	         200	        0.06	
5840	  -55305.416		2	   9230491.6	         200	        0.06	
5840	  -55304.681	1	1	   9231748.9	         200	 0.059998304	
5840	  -55318.146	2	2	     9242734	    199.9302	        0.06	
5840	  -55304.048	3	2	   9233677.3	         200	        0.06	
5840	  -55305.605	4	2	   9231950.2	   199.99122	        0.06	
5840	   -55304.12	5	2	   9233958.7	         200	        0.06	
5840	  -55304.058	6	2	     9232621	         200	        0.06	
5840	  -55305.835	7	2	   9233702.1	   199.98438	        0.06	
5840	  -55304.104	8	2	   9232438.8	         200	        0.06	
5840	      -55304	9	2	   9233063.3	         200	        0.06	
5850	  -55306.562		1	   9230867.4	         200	 0.059991098	
5850	  -55304.681	1	2	   9231748.9	         200	 0.059998304	
5850	  -55318.146	2	2	     9242734	    199.9302	        0.06	
5850	  -55304.048	3	2	   9233677.3	         200	        0.06	
5850	  -55305.605	4	2	   9231950.2	   199.99122	        0.06	
5850	   -55304.12	5	2	   9233958.7	         200	        0.06	
5850	  -55304.058	6	2	     9232621	         200	        0.06	
5850	  -55305.835	7	2	   9233702.1	   199.98438	        0.06	
5850	  -55304.104	8	2	   9232438.8	         200	        0.06	
5850	      -55304	9	2	   9233063.3	         200	        0.06	
5860	  -55306.562		2	   9230867.4	         200	 0.059991098	
5860	  -55304.681	1	2	   9231748.9	         200	 0.059998304	
5860	  -55318.146	2	2	     9242734	    199.9302	        0.06	
5860	  -55304.048	3	2	   9233677.3	         200	        0.06	
5860	  -55305.605	4	2	   9231950.2	   199.99122	        0.06	
5860	  -55304.268	5	1	     9232002	         200	        0.06	
5860	  -55304.058	6	2	     9232621	         200	        0.06	
5860	  -55305.835	7	2	   9233702.1	   199.98438	        0.06	
5860	  -55304.104	8	2	   9232438.8	         200	        0.06	
5860	      -55304	9	2	   9233063.3	         200	        0.06	
5870	  -55306.562		2	   9230867.4	         200	 0.059991098	
5870	  -55304.681	1	2	   9231748.9	         200	 0.059998304	
5870	  -55318.146	2	2	     9242734	    199.9302	        0.06	
5870	  -55304.048	3	2	   9233677.3	         200	        0.06	
5870	  -55305.605	4	2	   9231950.2	   199.99122	        0.06	
5870	  -55304.268	5	2	     9232002	         200	        0.06	
5870	  -55304.058	6	2	     9232621	         200	        0.06	
5870	  -55305.835	7	2	   9233702.1	   199.98438	        0.06	
5870	  -55304.104	8	2	   9232438.8	         200	        0.06	
5870	      -55304	9	2	   9233063.3	         200	        0.06	
5880	  -55305.212		1	   9230692.5	         200	        0.06	
5880	  -55304.681	1	2	   9231748.9	         200	 0.059998304	
5880	  -55318.146	2	2	     9242734	    199.9302	        0.06	
5880	  -55304.048	3	2	   9233677.3	         200	        0.06	
5880	  -55305.605	4	2	   9231950.2	   199.99122	        0.06	
5880	  -55304.268	5	2	     9232002	         200	        0.06	
5880	  -55304.058	6	2	     9232621	         200	        0.06	
5880	   -55304.52	7	1	   9233702.1	         200	 0.059997102	
5880	  -55304.104	8	2	   9232438.8	         200	        0.06	
5880	      -55304	9	2	   9233063.3	         200	        0.06	
5890	  -55305.212		2	   9230692.5	         200	        0.06	
5890	  -55305.945	1	1	   9232207.2	    199.9879	        0.06	
5890	  -55318.146	2	2	     9242734	    199.9302	        0.06	
5890	  -55304.048	3	2	   9233677.3	         200	        0.06	
5890	  -55305.605	4	2	   9231950.2	   199.99122	        0.06	
5890	  -55304.268	5	2	     9232002	         200	        0.06	
5890	  -55304.058	6	2	     9232621	         200	        0.06	
5890	   -55304.52	7	2	   9233702.1	         200	 0.059997102	
5890	  -55304.104	8	2	   9232438.8	         200	        0.06	
5890	      -55304	9	2	   9233063.3	         200	        0.06	
5900	  -55305.212		2	   9230692.5	         200	        0.06	
5900	  -55305.945	1	2	   9232207.2	    199.9879	        0.06	
5900	  -55314.557	2	1	   9240652.4	   199.92746	        0.06	
5900	  -55304.048	3	2	   9233677.3	         200	        0.06	
5900	  -55305.605	4	2	   9231950.2	   199.99122	        0.06	
5900	  -55304.268	5	2	     9232002	         200	        0.06	
5900	  -55304.058	6	2	     9232621	         200	        0.06	
5900	   -55304.52	7	2	   9233702.1	         200	 0.059997102	
5900	  -55304.104	8	2	   9232438.8	         200	        0.06	
5900	      -55304	9	2	   9233063.3	         200	        0.06	
5910	  -55305.212		2	   9230692.5	         200	        0.06	
5910	  -55309.316	1	1	   9233541.3	   199.96037	        0.06	
5910	  -55315.741	2	1	   9239795.9	   199.92746	 0.059986164	
5910	  -55304.715	3	1	   9234100.6	         200	  0.05999658	
5910	  -55305.605	4	2	   9231950.2	   199.99122	        0.06	
5910	  -55304.268	5	2	     9232002	         200	        0.06	
5910	  -55304.058	6	2	     9232621	         200	        0.06	
5910	   -55304.52	7	2	   9233702.1	         200	 0.059997102	
5910	  -55304.104	8	2	   9232438.8	         200	        0.06	
5910	  -55304.079	9	1	   9232528.8	         200	        0.06	
5920	  -55305.212		2	   9230692.5	         200	        0.06	
5920	  -55309.316	1	2	   9233541.3	   199.96037	        0.06	
5920	  -55314.583	2	1	   9239795.9	   199.95227	 0.059986164	
5920	  -55304.715	3	2	   9234100.6	         200	  0.05999658	
5920	  -55305.605	4	2	   9231950.2	   199.99122	        0.06	
5920	  -55304.268	5	2	     9232002	         200	        0.06	
5920	  -55304.058	6	2	     9232621	         200	        0.06	
5920	   -55304.52	7	2	   9233702.1	         200	 0.059997102	
5920	  -55304.104	8	2	   9232438.8	         200	        0.06	
5920	  -55304.079	9	2	   9232528.8	         200	        0.06	
5930	  -55305.212		2	   9230692.5	         200	        0.06	
5930	  -55309.316	1	2	   9233541.3	   199.96037	        0.06	
5930	  -55314.583	2	2	   9239795.9	   199.95227	 0.059986164	
5930	  -55304.715	3	2	   9234100.6	         200	  0.05999658	
5930	  -55305.605	4	2	   9231950.2	   199.99122	        0.06	
5930	  -55304.268	5	2	     9232002	         200	        0.06	
5930	  -55304.058	6	2	     9232621	         200	        0.06	
5930	   -55304.52	7	2	   9233702.1	         200	 0.059997102	
5930	  -55304.104	8	2	   9232438.8	         200	        0.06	
5930	  -55304.079	9	2	   9232528.8	         200	        0.06	
5940	  -55305.212		2	   9230692.5	         200	        0.06	
5940	  -55309.316	1	2	   9233541.3	   199.96037	        0.06	
5940	  -55314.583	2	2	   9239795.9	   199.95227	 0.059986164	
5940	  -55304.715	3	2	   9234100.6	         200	  0.05999658	
5940	  -55305.605	4	2	   9231950.2	   199.99122	        0.06	
5940	  -55304.268	5	2	     9232002	         200	        0.06	
5940	  -55304.058	6	2	     9232621	         200	        0.06	
5940	   -55304.52	7	2	   9233702.1	         200	 0.059997102	
5940	  -55304.104	8	2	   9232438.8	         200	        0.06	
5940	  -55304.079	9	2	   9232528.8	         200	        0.06	
5950	  -55304.078		1	   9232531.8	         200	        0.06	
5950	  -55309.316	1	2	   9233541.3	   199.96037	        0.06	
5950	  -55314.583	2	2	   9239795.9	   199.95227	 0.059986164	
5950	  -55304.715	3	2	   9234100.6	         200	  0.05999658	
5950	  -55304.186	4	1	   9232196.2	         200	        0.06	
5950	  -55304.268	5	2	     9232002	         200	        0.06	
5950	  -55305.146	6	1	   9233866.9	   199.99308	 0.059997966	
5950	   -55304.52	7	2	   9233702.1	         200	 0.059997102	
5950	  -55304.104	8	2	   9232438.8	         200	        0.06	
5950	  -55304.079	9	2	   9232528.8	         200	        0.06	
5960	  -55304.078		2	   9232531.8	         200	        0.06	
5960	  -55309.316	1	2	   9233541.3	   199.96037	        0.06	
5960	  -55311.011	2	1	   9239178.3	   199.97498	        0.06	
5960	  -55305.557	3	1	   9230361.7	         200	        0.06	
5960	  -55304.186	4	2	   9232196.2	         200	        0.06	
5960	  -55304.268	5	2	     9232002	         200	        0.06	
5960	  -55305.146	6	2	   9233866.9	   199.99308	 0.059997966	
5960	   -55304.52	7	2	   9233702.1	         200	 0.059997102	
5960	  -55304.104	8	2	   9232438.8	         200	        0.06	
5960	  -55304.079	9	2	   9232528.8	         200	        0.06	
5970	  -55304.078		2	   9232531.8	         200	        0.06	
5970	  -55309.758	1	1	   9235091.2	   199.95161	        0.06	
5970	  -55311.011	2	2	   9239178.3	   199.97498	        0.06	
5970	  -55304.929	3	1	   9232084.6	   199.99732	 0.059998103	
5970	  -55304.707	4	1	   9231276.8	         200	        0.06	
5970	  -55304.268	5	2	     9232002	         200	        0.06	
5970	  -55305.146	6	2	   9233866.9	   199.99308	 0.059997966	
5970	   -55304.52	7	2	   9233702.1	         200	 0.059997102	
5970	  -55304.104	8	2	   9232438.8	         200	        0.06	
5970	  -55304.079	9	2	   9232528.8	         200	        0.06	
5980	  -55304.078		2	   9232531.8	         200	        0.06	
5980	  -55307.213	1	1	   9232085.5	   199.98056	        0.06	
5980	  -55304.801	2	1	   9234249.2	   199.99397	        0.06	
5980	  -55304.929	3	2	   9232084.6	   199.99732	 0.059998103	
5980	  -55304.707	4	2	   9231276.8	         200	        0.06	
5980	  -55304.268	5	2	     9232002	         200	        0.06	
5980	  -55305.146	6	2	   9233866.9	   199.99308	 0.059997966	
5980	   -55304.52	7	2	   9233702.1	         200	 0.059997102	
5980	  -55304.104	8	2	   9232438.8	         200	        0.06	
5980	  -55304.079	9	2	   9232528.8	         200	        0.06	
5990	  -55304.078		2	   9232531.8	         200	        0.06	
5990	   -55305.91	1	1	   9234574.5	    199.9881	 0.059997307	
5990	  -55304.801	2	2	   9234249.2	   199.99397	        0.06	
5990	  -55304.929	3	2	   9232084.6	   199.99732	 0.059998103	
5990	  -55304.707	4	2	   9231276.8	         200	        0.06	
5990	  -55304.268	5	2	     9232002	         200	        0.06	
5990	  -55305.032	6	1	   9235460.6	         200	        0.06	
5990	  -55304.025	7	1	   9233543.1	         200	        0.06	
5990	  -55304.104	8	2	   9232438.8	         200	        0.06	
5990	   -55304.06	9	1	   9232609.7	         200	        0.06	
6000	  -55304.078		2	   9232531.8	         200	        0.06	
6000	   -55305.91	1	2	   9234574.5	    199.9881	 0.059997307	
6000	  -55304.793	2	1	     9232819	   199.99397	        0.06	
6000	  -55304.929	3	2	   9232084.6	   199.99732	 0.059998103	
6000	  -55304.707	4	2	   9231276.8	         200	        0.06	
6000	  -55304.268	5	2	     9232002	         200	        0.06	
6000	  -55305.032	6	2	   9235460.6	         200	        0.06	
6000	  -55304.025	7	2	   9233543.1	         200	        0.06	
6000	  -55304.104	8	2	   9232438.8	         200	        0.06	
6000	   -55304.06	9	2	   9232609.7	         200	        0.06	
6010	  -55304.059		1	   9233731.6	         200	        0.06	
6010	   -55305.91	1	2	   9234574.5	    199.9881	 0.059997307	
6010	  -55304.793	2	2	     9232819	   199.99397	        0.06	
6010	  -55305.511	3	1	   9231213.8	   199.99732	 0.059998103	
6010	  -55304.707	4	2	   9231276.8	         200	        0.06	
6010	  -55304.268	5	2	     9232002	         200	        0.06	
6010	  -55305.032	6	2	   9235460.6	         200	        0.06	
6010	  -55304.025	7	2	   9233543.1	         200	        0.06	
6010	  -55304.104	8	2	   9232438.8	         200	        0.06	
6010	   -55304.06	9	2	   9232609.7	         200	        0.06	
6020	  -55304.059		2	   9233731.6	         200	        0.06	
6020	   -55305.91	1	2	   9234574.5	    199.9881	 0.059997307	
6020	  -55304.056	2	1	   9232628.5	         200	        0.06	
6020	  -55305.511	3	2	   9231213.8	   199.99732	 0.059998103	
6020	  -55304.707	4	2	   9231276.8	         200	        0.06	
6020	  -55304.268	5	2	     9232002	         200	        0.06	
6020	  -55305.516	6	1	   9234820.4	   199.99866	 0.059994461	
6020	  -55304.025	7	2	   9233543.1	         200	        0.06	
6020	  -55304.104	8	2	   9232438.8	         200	        0.06	
6020	   -55304.06	9	2	   9232609.7	         200	        0.06	
6030	  -55303.998		1	     9233139	         200	        0.06	
6030	   -55305.91	1	2	   9234574.5	    199.9881	 0.059997307	
6030	  -55304.056	2	2	   9232628.5	         200	        0.06	
6030	  -55305.511	3	2	   9231213.8	   199.99732	 0.059998103	
6030	  -55304.707	4	2	   9231276.8	         200	        0.06	
6030	  -55304.268	5	2	     9232002	         200	        0.06	
6030	  -55305.516	6	2	   9234820.4	   199.99866	 0.059994461	
6030	  -55304.114	7	1	   9232404.7	         200	        0.06	
6030	  -55304.104	8	2	   9232438.8	         200	        0.06	
6030	   -55304.06	9	2	   9232609.7	         200	        0.06	
6040	  -55303.998		2	     9233139	         200	        0.06	
6040	   -55305.91	1	2	   9234574.5	    199.9881	 0.059997307	
6040	  -55304.056	2	2	   9232628.5	         200	        0.06	
6040	  -55305.511	3	2	   9231213.8	   199.99732	 0.059998103	
6040	  -55304.707	4	2	   9231276.8	         200	        0.06	
6040	  -55304.222	5	1	   9232106.5	         200	        0.06	
6040	  -55305.516	6	2	   9234820.4	   199.99866	 0.059994461	
6040	  -55304.114	7	2	   9232404.7	         200	        0.06	
6040	  -55304.104	8	2	   9232438.8	         200	        0.06	
6040	   -55304.06	9	2	   9232609.7	         200	        0.06	
6050	  -55303.998		2	     9233139	         200	        0.06	
6050	   -55305.91	1	2	   9234574.5	    199.9881	 0.059997307	
6050	  -55304.056	2	1	   9233717.9	         200	        0.06	
6050	  -55305.511	3	2	   9231213.8	   199.99732	 0.059998103	
6050	  -55304.707	4	2	   9231276.8	         200	        0.06	
6050	  -55304.222	5	2	   9232106.5	         200	        0.06	
6050	  -55305.551	6	1	   9234072.2	   199.98662	        0.06	
6050	  -55304.114	7	2	   9232404.7	         200	        0.06	
6050	  -55304.104	8	2	   9232438.8	         200	        0.06	
6050	   -55304.06	9	2	   9232609.7	         200	        0.06	
6060	  -55303.998		2	     9233139	         200	        0.06	
6060	   -55305.91	1	2	   9234574.5	    199.9881	 0.059997307	
6060	  -55304.364	2	1	   9231809.2	         200	        0.06	
6060	  -55305.511	3	2	   9231213.8	   199.99732	 0.059998103	
6060	  -55304.707	4	2	   9231276.8	         200	        0.06	
6060	  -55304.222	5	2	   9232106.5	         200	        0.06	
6060	  -55305.551	6	2	   9234072.2	   199.98662	        0.06	
6060	  -55304.114	7	2	   9232404.7	         200	        0.06	
6060	   -55305.08	8	1	   9230830.8	         200	        0.06	
6060	   -55304.06	9	2	   9232609.7	         200	        0.06	
6070	  -55303.998		2	     9233139	         200	        0.06	
6070	   -55305.91	1	2	   9234574.5	    199.9881	 0.059997307	
6070	  -55304.364	2	2	   9231809.2	         200	        0.06	
6070	  -55305.511	3	2	   9231213.8	   199.99732	 0.059998103	
6070	  -55304.707	4	2	   9231276.8	         200	        0.06	
6070	  -55304.005	5	1	   9233363.1	         200	        0.06	
6070	  -55305.551	6	2	   9234072.2	   199.98662	        0.06	
6070	  -55304.114	7	2	   9232404.7	         200	        0.06	
6070	   -55305.08	8	2	   9230830.8	         200	        0.06	
6070	   -55304.06	9	2	   9232609.7	         200	        0.06	
6080	  -55303.998		2	     9233139	         200	        0.06	
6080	  -55304.037	1	1	   9232725.1	         200	        0.06	
6080	  -55304.364	2	2	   9231809.2	         200	        0.06	
6080	  -55305.511	3	2	   9231213.8	   199.99732	 0.059998103	
6080	  -55304.707	4	2	   9231276.8	         200	        0.06	
6080	  -55304.005	5	2	   9233363.1	         200	        0.06	
6080	  -55305.551	6	2	   9234072.2	   199.98662	        0.06	
6080	  -55304.851	7	1	   9231093.7	         200	        0.06	
6080	   -55305.08	8	2	   9230830.8	         200	        0.06	
6080	   -55304.06	9	2	   9232609.7	         200	        0.06	
6090	  -55303.998		2	     9233139	         200	        0.06	
6090	  -55304.037	1	2	   9232725.1	         200	        0.06	
6090	  -55304.364	2	2	   9231809.2	         200	        0.06	
6090	  -55304.152	3	1	   9232286.8	         200	        0.06	
6090	  -55304.707	4	2	   9231276.8	         200	        0.06	
6090	  -55304.005	5	2	   9233363.1	         200	        0.06	
6090	  -55305.551	6	2	   9234072.2	   199.98662	        0.06	
6090	  -55304.851	7	2	   9231093.7	         200	        0.06	
6090	   -55305.08	8	2	   9230830.8	         200	        0.06	
6090	   -55304.06	9	2	   9232609.7	         200	        0.06	
6100	  -55303.998		2	     9233139	         200	        0.06	
6100	  -55304.037	1	2	   9232725.1	         200	        0.06	
6100	  -55304.364	2	2	   9231809.2	         200	        0.06	
6100	  -55304.152	3	2	   9232286.8	         200	        0.06	
6100	  -55304.707	4	2	   9231276.8	         200	        0.06	
6100	  -55304.005	5	2	   9233363.1	         200	        0.06	
6100	  -55305.555	6	1	   9233762.7	   199.98662	        0.06	
6100	  -55304.851	7	2	   9231093.7	         200	        0.06	
6100	   -55305.08	8	2	   9230830.8	         200	        0.06	
6100	  -55304.178	9	1	   9232215.4	         200	        0.06	
6110	  -55303.998		2	     9233139	         200	        0.06	
6110	  -55304.037	1	2	   9232725.1	         200	        0.06	
6110	  -55304.364	2	2	   9231809.2	         200	        0.06	
6110	  -55304.152	3	2	   9232286.8	         200	        0.06	
6110	  -55304.707	4	2	   9231276.8	         200	        0.06	
6110	  -55304.005	5	2	   9233363.1	         200	        0.06	
6110	  -55305.555	6	2	   9233762.7	   199.98662	        0.06	
6110	  -55304.851	7	2	   9231093.7	         200	        0.06	
6110	   -55305.08	8	2	   9230830.8	         200	        0.06	
6110	  -55304.178	9	2	   9232215.4	         200	        0.06	
6120	  -55303.998		2	     9233139	         200	        0.06	
6120	  -55304.037	1	2	   9232725.1	         200	        0.06	
6120	  -55304.364	2	2	   9231809.2	         200	        0.06	
6120	  -55304.152	3	2	   9232286.8	         200	        0.06	
6120	  -55304.707	4	2	   9231276.8	         200	        0.06	
6120	  -55304.005	5	2	   9233363.1	         200	        0.06	
6120	  -55305.555	6	2	   9233762.7	   199.98662	        0.06	
6120	  -55304.851	7	2	   9231093.7	         200	        0.06	
6120	   -55305.08	8	2	   9230830.8	         200	        0.06	
6120	   -55305.05	9	1	   9230863.1	         200	        0.06	
6130	  -55303.998		2	     9233139	         200	        0.06	
6130	  -55304.037	1	2	   9232725.1	         200	        0.06	
6130	  -55304.364	2	2	   9231809.2	         200	        0.06	
6130	  -55304.152	3	2	   9232286.8	         200	        0.06	
6130	  -55304.707	4	2	   9231276.8	         200	        0.06	
6130	  -55304.003	5	1	   9233339.6	         200	        0.06	
6130	  -55305.555	6	2	   9233762.7	   199.98662	        0.06	
6130	  -55304.851	7	2	   9231093.7	         200	        0.06	
6130	   -55305.08	8	2	   9230830.8	         200	        0.06	
6130	   -55305.05	9	2	   9230863.1	         200	        0.06	
6140	  -55303.998		2	     9233139	         200	        0.06	
6140	  -55304.046	1	1	   9232678.4	         200	        0.06	
6140	  -55304.364	2	2	   9231809.2	         200	        0.06	
6140	  -55304.152	3	2	   9232286.8	         200	        0.06	
6140	  -55304.065	4	1	     9233756	         200	        0.06	
6140	  -55304.003	5	2	   9233339.6	         200	        0.06	
6140	  -55305.555	6	2	   9233762.7	   199.98662	        0.06	
6140	  -55304.851	7	2	   9231093.7	         200	        0.06	
6140	   -55305.08	8	2	   9230830.8	         200	        0.06	
6140	   -55305.05	9	2	   9230863.1	         200	        0.06	
6150	  -55303.998		2	     9233139	         200	        0.06	
6150	  -55304.046	1	2	   9232678.4	         200	        0.06	
6150	  -55304.364	2	2	   9231809.2	         200	        0.06	
6150	  -55304.152	3	2	   9232286.8	         200	        0.06	
6150	  -55304.065	4	2	     9233756	         200	        0.06	
6150	  -55304.003	5	2	   9233339.6	         200	        0.06	
6150	  -55305.555	6	2	   9233762.7	   199.98662	        0.06	
6150	  -55304.851	7	2	   9231093.7	         200	        0.06	
6150	   -55305.08	8	2	   9230830.8	         200	        0.06	
6150	  -55304.908	9	1	   9235319.3	         200	        0.06	
6160	  -55303.998		2	     9233139	         200	        0.06	
6160	  -55304.046	1	2	   9232678.4	         200	        0.06	
